DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending,pincode
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332603
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332703
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332711
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332302
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332303
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332712
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332304
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332306
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332002
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332003
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332307
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332004
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332005
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332006
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332007
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332401
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332008
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332024
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332404
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332025
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332405
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332026
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332713
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332406
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332027
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332028
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332029
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332308
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332030
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332714
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332407
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332031
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332032
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332033
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332715
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332716
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332034
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332035
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332309
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332036
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332037
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332717
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332310
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332311
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332038
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332039
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332040
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332041
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332719
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332042
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332043
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332044
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332720
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332045
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332721
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332046
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332722
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332001
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332009
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332601
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332723
